flickr_id,download_id,file_name,MOS,ti,si,colorfulness,contrast,blur,vniqe,std,var,height,width
8536919744,1015445,8536919744_original_centercrop_960x540_8s.mp4,1.22,4.536384114,14.44270992,45.7339435,20.26139049,0.484240013,21.70818366,0.414246304,0.1716,540,960
6408325533,964070,6408325533_original_centercrop_960x540_8s.mp4,1.26,53.25496547,52.82471085,61.87097236,54.19566145,0.420905995,11.16841147,0.521919534,0.2724,540,960
5319047612,927528,5319047612_cut_centercrop_960x540_8s.mp4,1.3469,38.63496927,61.54506683,93.36608677,46.63794255,0.220413299,11.86315684,0.587052284,0.344630384,540,960
8724380666,1022436,8724380666_cut_centercrop_960x540_8s.mp4,1.4,9.642130363,19.7345314,9.658105217,32.16843037,0.441656581,16.81824539,0.6,0.36,540,960
4744073127,911499,4744073127_cut_centercrop_960x540_8s.mp4,1.42,8.540276678,88.6435318,95.45066496,63.61053415,0.135943313,8.074083046,0.666033032,0.4436,540,960
8483400755,1013749,8483400755_original_centercrop_960x540_8s.mp4,1.46,6.363793606,9.877181053,12.00362109,8.918859013,0.833132184,12.9756494,0.698856208,0.4884,540,960
10925288616,875323,10925288616_cut_centercrop_960x540_8s.mp4,1.46,5.473906409,155.8878479,63.0712968,63.4445872,0.604512616,17.89149224,0.606959636,0.3684,540,960
6807638360,971644,6807638360_cut_centercrop_960x540_8s.mp4,1.46,9.441966866,31.42244911,106.2436456,22.57873449,0.441350049,16.42965661,0.606959636,0.3684,540,960
6028497716,951123,6028497716_original_centercrop_960x540_8s.mp4,1.48,14.82145277,41.17734909,30.16875638,17.64548309,0.680185281,18.51999798,0.64,0.4096,540,960
9369433766,1033093,9369433766_original_centercrop_960x540_8s.mp4,1.52,14.90982494,77.65647125,80.50371494,82.82900313,0.159775597,11.44367934,0.670522185,0.4496,540,960
6184163826,957045,6184163826_original_centercrop_960x540_8s.mp4,1.52,26.05991941,57.66389847,99.3285119,42.30705822,0.298934639,9.235167777,0.607947366,0.3696,540,960
3471567822,891213,3471567822_cut_centercrop_960x540_8s.mp4,1.52,4.679288827,49.86578751,50.31328537,23.23212048,0.152560301,16.227655,0.754718491,0.5696,540,960
9445782126,1034624,9445782126_original_centercrop_960x540_8s.mp4,1.52,24.93042266,27.16403389,66.26626567,58.0596449,0.092446208,10.50181159,0.538144962,0.2896,540,960
4265470174,902268,4265470174_cut_centercrop_960x540_8s.mp4,1.56,24.71040608,28.79007912,36.75958716,40.05742578,0.128167493,13.25054377,0.668131724,0.4464,540,960
7074513729,979805,7074513729_original_centercrop_960x540_8s.mp4,1.56,42.63080552,72.9052124,24.62329397,40.82123778,0.222711094,11.51887613,0.752595509,0.5664,540,960
5570426341,935575,5570426341_cut_centercrop_960x540_8s.mp4,1.56,3.832144775,9.63339138,14.43001099,7.827996963,0.805088825,17.37288899,0.697423831,0.4864,540,960
3887621073,896534,3887621073_cut_centercrop_960x540_8s.mp4,1.58,10.3995393,25.78046608,28.58559459,16.45617487,0.372986889,22.84998002,0.723602101,0.5236,540,960
5927908371,947118,5927908371_original_centercrop_960x540_8s.mp4,1.6,45.98172578,97.97408295,91.7866008,50.72880316,0.218191157,9.088088447,0.632455532,0.4,540,960
6079875162,953075,6079875162_cut_centercrop_960x540_8s.mp4,1.6,31.83050607,124.4364319,26.93629814,51.08199413,0.667558977,15.15153451,0.721110255,0.52,540,960
10672253555,873833,10672253555_original_centercrop_960x540_8s.mp4,1.6148,35.37883793,47.95925903,61.9344799,41.39417338,0.36581491,9.926037004,0.702590574,0.493633515,540,960
6985991227,977685,6985991227_cut_centercrop_960x540_8s.mp4,1.62,14.80368525,70.39356232,83.26351146,36.28551336,0.25990697,15.73597414,0.689637586,0.4756,540,960
4472730048,905959,4472730048_cut_centercrop_960x540_8s.mp4,1.6224,14.75258371,46.29491043,23.23590243,28.65853594,0.233522081,15.40031971,0.73625441,0.542070557,540,960
10132105415,870520,10132105415_cut_centercrop_960x540_8s.mp4,1.64,8.585800201,23.01279831,18.91427598,33.09594268,0.457211004,13.16952149,0.591945943,0.3504,540,960
4970624827,917381,4970624827_original_centercrop_960x540_8s.mp4,1.66,27.99297023,82.11313629,63.93106653,75.27403827,0.086630775,11.18220707,0.58685603,0.3444,540,960
8222762296,1005477,8222762296_original_centercrop_960x540_8s.mp4,1.66,8.574500898,8.41603756,75.98219654,11.46950483,0.829773126,17.98255473,0.885663593,0.7844,540,960
4177089041,900769,4177089041_cut_centercrop_960x540_8s.mp4,1.66,17.62201616,51.12713242,21.48385638,43.36531102,0.08723521,11.47986093,0.73783467,0.5444,540,960
8643336872,1019615,8643336872_cut_centercrop_960x540_8s.mp4,1.68,4.487236972,9.064271927,15.45861222,9.910554507,0.676746376,16.93956787,0.676461381,0.4576,540,960
7558781186,989361,7558781186_cut_centercrop_960x540_8s.mp4,1.68,19.08359312,9.085266113,25.01841649,23.17460462,0.680867461,16.89965906,0.881816307,0.7776,540,960
6223028206,958294,6223028206_original_centercrop_960x540_8s.mp4,1.68,35.65274782,53.88229752,52.68181741,49.91313578,0.100737568,10.25826676,0.61449166,0.3776,540,960
6238991743,958754,6238991743_original_centercrop_960x540_8s.mp4,1.68,22.6229038,106.5643845,122.1321662,75.06747458,0.197020906,8.622634855,0.705407684,0.4976,540,960
4627984833,908957,4627984833_cut_centercrop_960x540_8s.mp4,1.7,10.91305248,27.6594944,115.5489312,34.51239201,0.14210756,13.7317102,0.670820393,0.45,540,960
10178280003,870776,10178280003_original_centercrop_960x540_8s.mp4,1.7,7.499562197,14.40077972,63.51636565,23.36404911,0.454722772,9.931138209,0.7,0.49,540,960
10650618913,873597,10650618913_original_centercrop_960x540_8s.mp4,1.7,7.923522285,21.60189438,16.80703962,16.96677768,0.413851687,12.29918002,0.7,0.49,540,960
5993312864,949764,5993312864_original_centercrop_960x540_8s.mp4,1.72,3.423535016,16.93842316,10.5882105,7.647364315,0.838534327,21.39530058,0.722218803,0.5216,540,960
5542380796,934589,5542380796_original_centercrop_960x540_8s.mp4,1.72,22.64828569,58.13508606,105.5009825,29.92685763,0.636537802,11.19569121,0.722218803,0.5216,540,960
6369679907,963100,6369679907_original_centercrop_960x540_8s.mp4,1.72,51.42338799,102.2010193,60.46848321,60.31937638,0.15238425,8.759167859,0.800999376,0.6416,540,960
4204485800,901224,4204485800_cut_centercrop_960x540_8s.mp4,1.7297,11.05263347,128.3010559,48.41234576,77.25547394,0.099300149,18.31240873,0.689359507,0.475216529,540,960
4834450895,913822,4834450895_cut_centercrop_960x540_8s.mp4,1.74,15.12383081,28.60984802,91.09957748,36.26464518,0.109377054,14.25014065,0.743236167,0.5524,540,960
5475555707,932376,5475555707_original_centercrop_960x540_8s.mp4,1.74,28.33081125,27.96487045,35.31950385,31.35264308,0.631604681,12.47251177,0.687313611,0.4724,540,960
5266893553,925996,5266893553_cut_centercrop_960x540_8s.mp4,1.74,11.58945681,72.54821014,9.554242908,25.43363528,0.257943294,22.54822565,0.82,0.6724,540,960
11635304003,879150,11635304003_cut_centercrop_960x540_8s.mp4,1.74,5.570958621,31.66108894,29.64216289,36.73596565,0.297455435,15.50670474,0.715821207,0.5124,540,960
7863416600,995073,7863416600_cut_centercrop_960x540_8s.mp4,1.78,34.45570686,39.76363373,76.08168457,55.53708713,0.151892976,13.37149201,0.729109045,0.5316,540,960
6792979288,971101,6792979288_cut_centercrop_960x540_8s.mp4,1.78,6.706446045,30.74785995,6.97657289,13.91653752,0.714114166,14.87092977,0.756042327,0.5716,540,960
7978973307,997524,7978973307_original_centercrop_960x540_8s.mp4,1.78,6.477464058,119.7876968,45.88527698,84.03851265,0.88289086,15.4601115,0.672011905,0.4516,540,960
6497033987,965599,6497033987_cut_centercrop_960x540_8s.mp4,1.8,6.581540048,62.20315933,86.062939,66.28892689,0.432652895,11.93696898,0.692820323,0.48,540,960
12567402335,884411,12567402335_original_centercrop_960x540_8s.mp4,1.8,35.74681384,68.04405212,16.41389016,39.78350071,0.249247828,18.29944655,0.824621125,0.68,540,960
6268574586,959923,6268574586_cut_centercrop_960x540_8s.mp4,1.8,5.180393626,9.380890846,16.15586643,9.202730605,0.881033826,17.75637043,0.663324958,0.44,540,960
