video_name,MOS
8536919744,1.22
6408325533,1.26
5319047612,1.3469
8724380666,1.4
4744073127,1.42
8483400755,1.46
10925288616,1.46
6807638360,1.46
6028497716,1.48
9369433766,1.52
6184163826,1.52
3471567822,1.52
9445782126,1.52
4265470174,1.56
7074513729,1.56
5570426341,1.56
3887621073,1.58
5927908371,1.6
6079875162,1.6
10672253555,1.6148
6985991227,1.62
4472730048,1.6224
10132105415,1.64
4970624827,1.66
8222762296,1.66
4177089041,1.66
8643336872,1.68
7558781186,1.68
6223028206,1.68
6238991743,1.68
4627984833,1.7
10178280003,1.7
10650618913,1.7
5993312864,1.72
5542380796,1.72
6369679907,1.72
4204485800,1.7297
4834450895,1.74
5475555707,1.74
5266893553,1.74
11635304003,1.74
7863416600,1.78
6792979288,1.78
7978973307,1.78
6497033987,1.8
12567402335,1.8
6268574586,1.8
6275674780,1.82
6323632937,1.82
9058636581,1.82
10694139655,1.82
4321531777,1.82
4905336825,1.8281
5043852749,1.84
8625682550,1.84
5150451769,1.84
5048882871,1.84
4879585643,1.84
6268902756,1.8431
5935222726,1.86
5962679589,1.86
3770747002,1.86
7848940332,1.86
11095294653,1.86
6783810490,1.88
10417424703,1.88
7983363078,1.9
6661657005,1.9
8017059368,1.9072
7495449440,1.92
5504464599,1.94
6131895268,1.94
9814654176,1.94
11688667226,1.94
4933934170,1.96
4677538291,1.96
6299595444,1.96
4991520511,1.98
4823416929,1.98
9047671138,1.98
8257892715,1.98
7087189849,1.98
8339870239,1.9921
6008700446,2
8592011515,2
4907486229,2
6749780445,2.02
7545358086,2.02
8527434285,2.02
8110008288,2.02
8663100289,2.0349
6120978816,2.04
5460445525,2.04
8582023917,2.04
5506184490,2.04
5956265529,2.04
4639129836,2.06
9427595515,2.06
4959664675,2.06
7171297739,2.06
10716218856,2.06
7123683275,2.06
8195899669,2.06
6212970517,2.06
5733977738,2.06
4775312025,2.08
3496871384,2.08
9765162404,2.08
5625415555,2.08
7651248048,2.08
9618443862,2.08
8336226077,2.08
8372557828,2.08
8554748075,2.0891
9000209228,2.1
8477990214,2.1
9564154386,2.1
10625504535,2.1
8144762018,2.1
7917797604,2.1057
5134310379,2.12
8069024908,2.12
9136867624,2.12
6149591212,2.14
6346026937,2.14
5078125268,2.14
8587927758,2.14
5115335471,2.16
12461764004,2.16
11907021903,2.16
4820762619,2.16
11061444876,2.16
5819852885,2.16
8324243833,2.16
8685321568,2.18
10102107193,2.18
